answer_llm,answer_orig,document,question,section
You may be able to work part-time under the permitted work rules.,You may be able to work part-time under the permitted work rules.,5fe283c9-4b97-55a9-a312-f9a437eb2e0b,Am I allowed to work part-time receiving Employment and Support Allowance?,general claim benefits
You may be able to work part-time under the permitted work rules.,You may be able to work part-time under the permitted work rules.,5fe283c9-4b97-55a9-a312-f9a437eb2e0b,What are the rules for working part-time on ESA?,general claim benefits
Yes you may be able to work a limited number of hours and earn a certain amount while still receiving ESA.,You may be able to work part-time under the permitted work rules.,5fe283c9-4b97-55a9-a312-f9a437eb2e0b,Can I do any permitted work while on ESA?,general claim benefits
You may be able to work part-time under the permitted work rules.,You may be able to work part-time under the permitted work rules.,5fe283c9-4b97-55a9-a312-f9a437eb2e0b,Is part-time work possible when receiving ESA?,general claim benefits
You may be able to work part-time under the permitted work rules.,You may be able to work part-time under the permitted work rules.,5fe283c9-4b97-55a9-a312-f9a437eb2e0b,Does ESA allow for any work under the permitted rules?,general claim benefits
"If you are a member of the armed forces, you may be able to claim benefits under the Armed Forces Pension Scheme (AFPS).",Apply for Child Benefit online or via a postal form.,15f4e930-a105-5d65-963b-828180f5cecd,questions,general claim benefits
Families may be eligible for Child Tax Credit and other benefits.,Families may be eligible for Child Tax Credit and other benefits.,da45e8bd-bae5-5569-9971-18d7f18965ba,What support is there for financially assisting families?,general claim benefits
Housing Benefit can help you pay your rent if you're on a low income.,Families may be eligible for Child Tax Credit and other benefits.,da45e8bd-bae5-5569-9971-18d7f18965ba,Can families get financial assistance with taxes?,general claim benefits
"If you receive a benefits overpayment, contact your benefits office immediately to arrange repayment or discuss your options.",Families may be eligible for Child Tax Credit and other benefits.,da45e8bd-bae5-5569-9971-18d7f18965ba,Are there benefits specifically for families?,general claim benefits
You may be eligible for Child Tax Credit and other benefits.,Families may be eligible for Child Tax Credit and other benefits.,da45e8bd-bae5-5569-9971-18d7f18965ba,What types of credits can families receive?,general claim benefits
You can apply online or by calling the Department for Work and Pensions.,Families may be eligible for Child Tax Credit and other benefits.,da45e8bd-bae5-5569-9971-18d7f18965ba,Could families qualify for any tax benefits?,general claim benefits
Eligibility for free school meals depends on your income and benefits.,Eligibility for free school meals depends on your income and benefits.,f6aabeb4-ac29-501a-9c40-989a947640a5,What determines if my child can receive free school meals?,general claim benefits
You can apply for ESA when your Statutory Sick Pay ends if you’re still unable to work.,Eligibility for free school meals depends on your income and benefits.,f6aabeb4-ac29-501a-9c40-989a947640a5,Is eligibility for free school meals based on income?,general claim benefits
Child Benefit is a payment made to parents or guardians to help with the cost of raising children.,Eligibility for free school meals depends on your income and benefits.,f6aabeb4-ac29-501a-9c40-989a947640a5,Can benefits affect my child's access to free school meals?,general claim benefits
You can apply for Housing Benefit through your local council.,Eligibility for free school meals depends on your income and benefits.,f6aabeb4-ac29-501a-9c40-989a947640a5,Do I qualify for free school meals if I have a high income?,general claim benefits
Eligibility for free school meals depends on your income and benefits.,Eligibility for free school meals depends on your income and benefits.,f6aabeb4-ac29-501a-9c40-989a947640a5,Are free school meals provided to families with low income?,general claim benefits
The Sure Start Maternity Grant is a one-off payment to help with baby costs.,The Sure Start Maternity Grant is a one-off payment to help with baby costs.,eaa7ef0a-6258-52d7-89cf-57058b82f7e5,What financial support does Sure Start Maternity Grant offer?,general claim benefits
Notify your benefits office or Jobcentre Plus as soon as you are able to return to work.,The Sure Start Maternity Grant is a one-off payment to help with baby costs.,eaa7ef0a-6258-52d7-89cf-57058b82f7e5,Can the Sure Start Maternity Grant be used to cover baby-related expenses?,general claim benefits
The Sure Start Maternity Grant is a one-off payment to help with baby costs.,The Sure Start Maternity Grant is a one-off payment to help with baby costs.,eaa7ef0a-6258-52d7-89cf-57058b82f7e5,What is the purpose of the Sure Start Maternity Grant payment?,general claim benefits
The Sure Start Maternity Grant is a one-off payment to help with baby costs.,The Sure Start Maternity Grant is a one-off payment to help with baby costs.,eaa7ef0a-6258-52d7-89cf-57058b82f7e5,Is the Sure Start Maternity Grant a recurring payment or a one-time payment?,general claim benefits
In some cases benefits can be backdated if you have a valid reason for the delay in your application.,The Sure Start Maternity Grant is a one-off payment to help with baby costs.,eaa7ef0a-6258-52d7-89cf-57058b82f7e5,Who can benefit from the Sure Start Maternity Grant?,general claim benefits
You can apply for parental leave through your employer.,You can apply for parental leave through your employer.,6d3c7a69-456d-53e2-8b60-de32e454e382,What is the procedure for applying for parental leave?,general claim benefits
Budgeting support is available through the GOV.UK website and various charities.,You can apply for parental leave through your employer.,6d3c7a69-456d-53e2-8b60-de32e454e382,How can I initiate a parental leave request?,general claim benefits
You should apply for Jobseeker’s Allowance or Universal Credit and look for new job opportunities.,You can apply for parental leave through your employer.,6d3c7a69-456d-53e2-8b60-de32e454e382,Where do I submit my parental leave application?,general claim benefits
You can apply for parental leave through your employer.,You can apply for parental leave through your employer.,6d3c7a69-456d-53e2-8b60-de32e454e382,What steps are involved in applying for parental leave?,general claim benefits
You can apply for parental leave through your employer.,You can apply for parental leave through your employer.,6d3c7a69-456d-53e2-8b60-de32e454e382,Through whom should I apply for parental leave?,general claim benefits
Childcare Grant is available to students in full-time higher education who have children.,PIP helps with extra costs if you have a long-term health condition.,04d2de6d-4cbe-5b27-b2e5-d1b9fa9f35e7,What is PIP?,general claim benefits
Personal Independence Payment (PIP) helps with extra costs if you have a long-term health condition.,PIP helps with extra costs if you have a long-term health condition.,04d2de6d-4cbe-5b27-b2e5-d1b9fa9f35e7,What does PIP assist with?,general claim benefits
You may be eligible for a Disabled Facilities Grant to help adapt your home.,PIP helps with extra costs if you have a long-term health condition.,04d2de6d-4cbe-5b27-b2e5-d1b9fa9f35e7,How can PIP help me?,general claim benefits
You can apply for PIP by filling out a form on the GOV.UK website or by phone.,PIP helps with extra costs if you have a long-term health condition.,04d2de6d-4cbe-5b27-b2e5-d1b9fa9f35e7,Who is eligible for PIP?,general claim benefits
You may be eligible for a Funeral Expenses Payment if you’re on a low income and can’t afford the funeral costs.,PIP helps with extra costs if you have a long-term health condition.,04d2de6d-4cbe-5b27-b2e5-d1b9fa9f35e7,What kind of costs can PIP cover?,general claim benefits
You can apply online or by calling the Department for Work and Pensions.,You can apply online or by calling the Department for Work and Pensions.,85a68cb7-c1e9-55f7-942d-48cc38baf06c,What methods are available to apply for disability benefits?,general claim benefits
You can apply online or by calling the Department for Work and Pensions.,You can apply online or by calling the Department for Work and Pensions.,85a68cb7-c1e9-55f7-942d-48cc38baf06c,Where can I submit my application for disability benefits?,general claim benefits
You can apply online or by calling the Department for Work and Pensions.,You can apply online or by calling the Department for Work and Pensions.,85a68cb7-c1e9-55f7-942d-48cc38baf06c,Can I apply for disability benefits over the phone?,general claim benefits
You can apply online or by calling the Department for Work and Pensions.,You can apply online or by calling the Department for Work and Pensions.,85a68cb7-c1e9-55f7-942d-48cc38baf06c,Is there an online option to apply for disability benefits?,general claim benefits
You can apply online or by calling the Department for Work and Pensions.,You can apply online or by calling the Department for Work and Pensions.,85a68cb7-c1e9-55f7-942d-48cc38baf06c,Who do I contact to apply for disability benefits?,general claim benefits
You may be eligible for Disability Living Allowance or other benefits.,You may be eligible for Disability Living Allowance or other benefits.,e7bdc104-c7d8-50d4-8857-2a01b6451126,What financial aids can disabled individuals apply for?,general claim benefits
You may be eligible for Disability Living Allowance or other benefits.,You may be eligible for Disability Living Allowance or other benefits.,e7bdc104-c7d8-50d4-8857-2a01b6451126,Are there specific allowances for people with disabilities?,general claim benefits
Yes you can receive ESA along with certain other benefits but it may affect the amount you get.,You may be eligible for Disability Living Allowance or other benefits.,e7bdc104-c7d8-50d4-8857-2a01b6451126,Can individuals with disabilities receive financial support?,general claim benefits
Yes Employment and Support Allowance can be claimed if mental health issues prevent you from working.,You may be eligible for Disability Living Allowance or other benefits.,e7bdc104-c7d8-50d4-8857-2a01b6451126,What types of benefits are available to those with health conditions?,general claim benefits
Disability Living Allowance,You may be eligible for Disability Living Allowance or other benefits.,e7bdc104-c7d8-50d4-8857-2a01b6451126,Which benefits help those with disabilities manage living expenses?,general claim benefits
Attendance Allowance helps with extra costs if you're over State Pension age and need someone to help with personal care.,Attendance Allowance helps with extra costs if you're over State Pension age and need someone to help with personal care.,dffeacb5-71d7-54dc-936c-1810ba4c4f82,What is the purpose of Attendance Allowance?,general claim benefits
Attendance Allowance is for people over State Pension age who need help with personal care and can be applied for online.,Attendance Allowance helps with extra costs if you're over State Pension age and need someone to help with personal care.,dffeacb5-71d7-54dc-936c-1810ba4c4f82,Who qualifies for Attendance Allowance?,general claim benefits
Attendance Allowance helps with extra costs if you're over State Pension age and need someone to help with personal care.,Attendance Allowance helps with extra costs if you're over State Pension age and need someone to help with personal care.,dffeacb5-71d7-54dc-936c-1810ba4c4f82,How does Attendance Allowance assist with costs?,general claim benefits
Attendance Allowance is for people over State Pension age who need someone to help with personal care and can be applied for online.,Attendance Allowance helps with extra costs if you're over State Pension age and need someone to help with personal care.,dffeacb5-71d7-54dc-936c-1810ba4c4f82,At what age can you receive Attendance Allowance?,general claim benefits
You can apply for respite care through your local council or care provider.,Attendance Allowance helps with extra costs if you're over State Pension age and need someone to help with personal care.,dffeacb5-71d7-54dc-936c-1810ba4c4f82,What type of care does Attendance Allowance cover?,general claim benefits
Apply for a Blue Badge through your local council's website.,Apply for a Blue Badge through your local council's website.,ea9bc2b8-30ee-5f67-8fa8-29925ef8e522,What is the process for obtaining a Blue Badge?,general claim benefits
You can apply for Adoption Allowance through your local council.,Apply for a Blue Badge through your local council's website.,ea9bc2b8-30ee-5f67-8fa8-29925ef8e522,Where can I apply for a Blue Badge?,general claim benefits
Maternity Allowance is for those who don’t qualify for Statutory Maternity Pay and can be applied for through the GOV.UK website.,Apply for a Blue Badge through your local council's website.,ea9bc2b8-30ee-5f67-8fa8-29925ef8e522,How do I initiate the application for a Blue Badge?,general claim benefits
Apply for a Blue Badge through your local council's website.,Apply for a Blue Badge through your local council's website.,ea9bc2b8-30ee-5f67-8fa8-29925ef8e522,Which platform should I use to apply for a Blue Badge?,general claim benefits
You can apply for ESA when your Statutory Sick Pay ends if you’re still unable to work.,Apply for a Blue Badge through your local council's website.,ea9bc2b8-30ee-5f67-8fa8-29925ef8e522,How can I get information on Blue Badge applications?,general claim benefits
You must earn less than a specified amount to qualify for Carer's Allowance.,You can get Carer's Allowance if you care for someone for at least 35 hours a week.,7488db67-fc5a-5ba9-85af-758fd20d3441,What are the requirements for Carer's Allowance?,general claim benefits
You generally cannot receive Carer’s Allowance if you’re in full-time education.,You can get Carer's Allowance if you care for someone for at least 35 hours a week.,7488db67-fc5a-5ba9-85af-758fd20d3441,Do I qualify for Carer's Allowance if I care for someone part-time?,general claim benefits
You can get Carer’s Allowance if you care for someone for at least 35 hours a week.,You can get Carer's Allowance if you care for someone for at least 35 hours a week.,7488db67-fc5a-5ba9-85af-758fd20d3441,How many hours a week must I care for someone to receive Carer's Allowance?,general claim benefits
You can receive Carer’s Allowance if you care for someone for at least 35 hours a week.,You can get Carer's Allowance if you care for someone for at least 35 hours a week.,7488db67-fc5a-5ba9-85af-758fd20d3441,Can I receive Carer's Allowance for caring less than 35 hours weekly?,general claim benefits
You can get Carer's Allowance if you care for someone for at least 35 hours a week.,You can get Carer's Allowance if you care for someone for at least 35 hours a week.,7488db67-fc5a-5ba9-85af-758fd20d3441,Is Carer's Allowance available for individuals providing occasional care?,general claim benefits
Answer: No relevant context was found for this question.,Support includes Carer’s Credit and other financial aid.,d4604027-0df3-5fed-8501-fe7e2ec8636a,question1,general claim benefits
Answer: No relevant context found for this question.,Support includes Carer’s Credit and other financial aid.,d4604027-0df3-5fed-8501-fe7e2ec8636a,question2,general claim benefits
Answer: No relevant context found for this question.,Support includes Carer’s Credit and other financial aid.,d4604027-0df3-5fed-8501-fe7e2ec8636a,question3,general claim benefits
Answer: No relevant context found for this question.,Support includes Carer’s Credit and other financial aid.,d4604027-0df3-5fed-8501-fe7e2ec8636a,question4,general claim benefits
Answer: No relevant context found for this question.,Support includes Carer’s Credit and other financial aid.,d4604027-0df3-5fed-8501-fe7e2ec8636a,question5,general claim benefits
Apply online or by phone to receive Carer's Credit.,Apply online or by phone to receive Carer's Credit.,f4b0a7c5-a970-5133-bd68-cfff692b57b6,What is the process to claim Carer's Credit?,general claim benefits
Apply for Carer’s Allowance online or by phone through the GOV.UK website.,Apply online or by phone to receive Carer's Credit.,f4b0a7c5-a970-5133-bd68-cfff692b57b6,Can I apply for Carer's Credit through the internet?,general claim benefits
Apply online or by phone to receive Carer's Credit.,Apply online or by phone to receive Carer's Credit.,f4b0a7c5-a970-5133-bd68-cfff692b57b6,Is there a phone application option for receiving Carer’s Credit?,general claim benefits
Apply online or by phone to receive Carer's Credit.,Apply online or by phone to receive Carer's Credit.,f4b0a7c5-a970-5133-bd68-cfff692b57b6,How can I receive Carer's Credit if I care for someone?,general claim benefits
A carer's assessment evaluates the needs of the carer to provide appropriate support.,Apply online or by phone to receive Carer's Credit.,f4b0a7c5-a970-5133-bd68-cfff692b57b6,What are my options to apply for Carer's Credit?,general claim benefits
The Carer's Assessment evaluates your needs as a carer and offers support.,The Carer's Assessment evaluates your needs as a carer and offers support.,f2c0e69d-ebf7-5f2e-9acd-e6b5db206a7f,What does the Carer's Assessment do for carers?,general claim benefits
Inform your GP that you are a carer and they will note it on your medical records.,The Carer's Assessment evaluates your needs as a carer and offers support.,f2c0e69d-ebf7-5f2e-9acd-e6b5db206a7f,How are a carer's needs evaluated?,general claim benefits
Support includes Carer’s Credit and other financial aid.,The Carer's Assessment evaluates your needs as a carer and offers support.,f2c0e69d-ebf7-5f2e-9acd-e6b5db206a7f,What kind of support is available if you're a carer?,general claim benefits
The Carer's Assessment evaluates your needs as a carer and offers support.,The Carer's Assessment evaluates your needs as a carer and offers support.,f2c0e69d-ebf7-5f2e-9acd-e6b5db206a7f,"When seeking help as a carer, what assessment is used?",general claim benefits
The Carer's Assessment evaluates your needs as a carer and offers support.,The Carer's Assessment evaluates your needs as a carer and offers support.,f2c0e69d-ebf7-5f2e-9acd-e6b5db206a7f,What is assessed during a Carer's Assessment?,general claim benefits
You can work part-time while claiming Carer's Allowance as long as you don't earn over the limit.,You can work part-time while claiming Carer's Allowance as long as you don't earn over the limit.,433fd560-f548-56ca-b0ce-1f34db8501c3,Is it possible to work and still receive Carer's Allowance?,general claim benefits
You can work part-time while claiming Carer's Allowance as long as you don't earn over the limit.,You can work part-time while claiming Carer's Allowance as long as you don't earn over the limit.,433fd560-f548-56ca-b0ce-1f34db8501c3,Are there earning restrictions when claiming Carer's Allowance while working?,general claim benefits
